Datetime,Open,High,Low,Close,Volume
1609430400000,28782.01000000,28821.85000000,28763.94000000,28811.85000000,95.83579500
1609430460000,28812.64000000,28822.59000000,28714.29000000,28726.62000000,58.51622700
1609430520000,28728.28000000,28744.76000000,28684.69000000,28693.37000000,75.03837300
1609430580000,28693.37000000,28715.15000000,28682.09000000,28690.29000000,37.12819300
1609430640000,28690.29000000,28734.70000000,28680.00000000,28715.11000000,38.41111200
1609430700000,28715.11000000,28741.26000000,28713.06000000,28735.88000000,25.01118200
1609430760000,28735.89000000,28747.43000000,28720.87000000,28732.01000000,28.18258400
1609430820000,28729.43000000,28729.43000000,28700.00000000,28700.01000000,24.41429000
1609430880000,28700.00000000,28720.00000000,28682.08000000,28720.00000000,18.95493900
1609430940000,28719.99000000,28729.20000000,28714.62000000,28719.85000000,18.41275900
1609431000000,28719.60000000,28729.19000000,28701.67000000,28708.71000000,41.24748600
1609431060000,28710.15000000,28719.78000000,28696.60000000,28706.24000000,17.99654400
1609431120000,28706.37000000,28715.85000000,28678.19000000,28678.19000000,38.17214700
1609431180000,28678.09000000,28683.25000000,28615.82000000,28653.79000000,152.11647100
1609431240000,28652.42000000,28655.90000000,28623.41000000,28648.53000000,47.90683700
1609431300000,28648.52000000,28653.01000000,28600.00000000,28603.55000000,48.90384600
1609431360000,28603.55000000,28603.55000000,28555.00000000,28595.65000000,112.68700400
1609431420000,28595.65000000,28622.49000000,28586.77000000,28606.44000000,48.33865700
1609431480000,28606.44000000,28633.82000000,28605.00000000,28630.53000000,34.66092200
1609431540000,28630.52000000,28670.73000000,28621.40000000,28669.24000000,38.16890100
1609431600000,28670.46000000,28707.97000000,28667.85000000,28702.03000000,48.59175800
1609431660000,28702.04000000,28703.75000000,28670.00000000,28671.30000000,40.40055200
1609431720000,28671.30000000,28682.99000000,28640.41000000,28673.95000000,44.27436700
1609431780000,28673.95000000,28692.41000000,28652.28000000,28664.27000000,50.35181900
1609431840000,28664.27000000,28693.98000000,28664.27000000,28684.40000000,18.16398200
1609431900000,28684.40000000,28739.94000000,28683.48000000,28728.06000000,65.59924800
1609431960000,28728.06000000,28736.35000000,28719.56000000,28726.62000000,33.10189500
1609432020000,28726.61000000,28726.95000000,28704.52000000,28716.15000000,35.27749900
1609432080000,28716.15000000,28716.16000000,28669.75000000,28678.78000000,24.06124000
1609432140000,28678.79000000,28680.73000000,28631.35000000,28641.22000000,33.15454200
1609432200000,28641.23000000,28665.92000000,28640.98000000,28650.53000000,20.25000300
1609432260000,28650.52000000,28653.00000000,28627.90000000,28636.92000000,19.15270700
1609432320000,28636.91000000,28637.17000000,28604.71000000,28613.93000000,42.87659600
1609432380000,28613.92000000,28643.70000000,28603.50000000,28637.25000000,31.01233300
1609432440000,28638.18000000,28680.73000000,28634.79000000,28657.75000000,42.78371000
1609432500000,28657.75000000,28694.71000000,28655.55000000,28666.51000000,22.30347200
1609432560000,28666.52000000,28691.71000000,28655.41000000,28676.14000000,15.52090400
1609432620000,28676.14000000,28688.72000000,28662.59000000,28662.59000000,15.32043000
1609432680000,28662.59000000,28671.90000000,28620.00000000,28620.01000000,27.40117900
1609432740000,28620.01000000,28620.01000000,28502.00000000,28541.25000000,204.34508900
1609432800000,28544.00000000,28583.09000000,28540.56000000,28564.84000000,43.97418600
1609432860000,28564.83000000,28588.87000000,28542.77000000,28555.00000000,32.59093300
1609432920000,28554.99000000,28590.00000000,28549.44000000,28590.00000000,28.89078500
1609432980000,28590.00000000,28590.01000000,28561.60000000,28583.00000000,47.71102600
1609433040000,28582.99000000,28586.77000000,28463.33000000,28490.30000000,111.13758600
1609433100000,28490.31000000,28551.08000000,28470.56000000,28536.63000000,102.76363400
1609433160000,28532.20000000,28549.98000000,28490.21000000,28549.07000000,27.62330700
1609433220000,28547.26000000,28547.26000000,28487.50000000,28514.46000000,43.50441900
1609433280000,28514.46000000,28519.61000000,28464.40000000,28464.40000000,24.83084100
1609433340000,28464.40000000,28464.41000000,28407.26000000,28433.39000000,134.30325300
1609433400000,28433.39000000,28442.79000000,28339.19000000,28370.22000000,130.32458800
1609433460000,28370.22000000,28372.44000000,28311.00000000,28354.84000000,92.99463600
1609433520000,28353.86000000,28375.49000000,28315.00000000,28323.93000000,62.97130800
1609433580000,28323.94000000,28410.27000000,28319.72000000,28405.23000000,42.57844400
1609433640000,28405.23000000,28431.00000000,28384.28000000,28428.78000000,25.33201400
1609433700000,28428.78000000,28431.36000000,28399.00000000,28419.99000000,22.44712900
1609433760000,28420.00000000,28424.56000000,28350.00000000,28395.98000000,73.33997600
1609433820000,28395.98000000,28405.50000000,28356.01000000,28377.77000000,22.04930200
1609433880000,28377.76000000,28398.10000000,28363.09000000,28380.06000000,26.33008200
1609433940000,28380.06000000,28420.00000000,28362.28000000,28380.60000000,40.63636300
1609434000000,28382.47000000,28400.00000000,28362.00000000,28400.00000000,98.08947300
